epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,443.213,0.5115,0.30782,0.88999,0.99932,1,0.995,0.87805,0.58248,0.26194,0.87257,0.0002378,0.0002378,0.0002378
91,448.37,0.50885,0.28673,0.88501,0.99925,1,0.995,0.86978,0.55722,0.25873,0.86122,0.000218,0.000218,0.000218
92,453.254,0.4989,0.28223,0.87124,0.99926,1,0.995,0.87255,0.56477,0.26342,0.86173,0.0001982,0.0001982,0.0001982
93,457.796,0.42866,0.25936,0.85558,0.99929,1,0.995,0.87843,0.56686,0.25666,0.86123,0.0001784,0.0001784,0.0001784
94,462.54,0.46215,0.26082,0.86224,0.99929,1,0.995,0.88241,0.56427,0.25634,0.8613,0.0001586,0.0001586,0.0001586
95,467.419,0.46612,0.26636,0.86897,0.99929,1,0.995,0.87084,0.56697,0.26391,0.86242,0.0001388,0.0001388,0.0001388
96,471.899,0.44011,0.25264,0.84802,0.9993,1,0.995,0.87588,0.57331,0.25541,0.86211,0.000119,0.000119,0.000119
97,476.847,0.46029,0.25344,0.85478,0.99931,1,0.995,0.87723,0.57057,0.25618,0.86328,9.92e-05,9.92e-05,9.92e-05
98,481.933,0.47384,0.25842,0.85486,0.9993,1,0.995,0.88045,0.5695,0.25041,0.86381,7.94e-05,7.94e-05,7.94e-05
99,486.622,0.4395,0.25067,0.86649,0.9993,1,0.995,0.8785,0.56837,0.24854,0.86126,5.96e-05,5.96e-05,5.96e-05
100,491.477,0.45651,0.25556,0.86308,0.99931,1,0.995,0.88259,0.57527,0.25386,0.86275,3.98e-05,3.98e-05,3.98e-05
